,activite_domloissport_duree,activite_domloissport_score,activite_intense_score,activite_moderee_score,activite_total_duree,activite_total_score,conso_gpe1,conso_gpe10,conso_gpe11,conso_gpe12,conso_gpe13,conso_gpe14,conso_gpe15,conso_gpe16,conso_gpe17,conso_gpe18,conso_gpe19,conso_gpe2,conso_gpe20,conso_gpe21,conso_gpe22,conso_gpe23,conso_gpe24,conso_gpe25,conso_gpe26,conso_gpe27,conso_gpe28,conso_gpe29,conso_gpe3,conso_gpe30,conso_gpe31,conso_gpe32,conso_gpe33,conso_gpe34,conso_gpe35,conso_gpe36,conso_gpe37,conso_gpe38,conso_gpe39,conso_gpe4,conso_gpe40,conso_gpe41,conso_gpe42,conso_gpe5,conso_gpe6,conso_gpe7,conso_gpe8,conso_gpe9,escalier_score,jvideo_duree,jvideo_score,ordi_duree,ordi_score,sedentarite_duree,transport_score,travail_duree,travail_freq_semaine,tv_duree,tv_score,Code de la region,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,Code_Reg_Carto
0,2.466121534158731,8.645067979746845,0.015384287290066,6.461400662046197,10.04668128646864,21.68404832475245,79.27382014370754,17.807135825000017,7.3516263195578215,6.896887146156461,6.13844989287075,10.18062577891157,32.658972332193876,21.666412693197284,23.080349490017028,20.43141363176871,1.617970137840136,5.8531187057823155,1.788872668707483,116.27975546887755,5.115639599659866,36.81202774030615,123.1505353517008,27.408997015816315,2.343871962959183,12.428310593911572,17.89301848625681,187.8823679018708,8.721077898928574,581.6483295379252,92.20431727653067,74.78046868615642,70.09321254829933,352.8088257984693,80.66627530051025,13.186817784693881,5.9116110837585065,23.251476645578226,49.00982338622452,63.486559477550955,59.63161565255107,22.490642720374137,4.933598225680273,1.8397715760204079,67.28944481292513,70.97791467295913,84.66533162244896,27.788325963520403,1.02607691270627,0.3022284020907507,0.15431785917218543,1.2513944714720284,2.4317184144518267,6.1196168472937265,0.6403310291075953,2.5329670339743595,2.8364877189171978,2.1660214331582623,2.810196184620463,9.0,5310639.0,2713316.0,51.09,2597323.0,48.91,59333.0,1.12,2.28,30175.0,0.57,1.16,2507815.0,47.22,96.55,84.0
1,2.5946015559124085,8.957816238417262,0.0196010183314394,8.232427719621212,9.868452577099236,22.055871882442755,101.5501655180451,18.614621252631583,5.950310719548872,7.4120994211278175,5.630275987030074,14.439312382330822,37.953337983082704,26.508316780075184,23.055998939360894,16.848388705639092,1.3927336406015036,5.76386025037594,1.8899704969924813,109.22710925939846,5.296589625187969,32.485622548120325,121.78504003458649,23.741738808270682,2.4232009085338344,12.786541388759401,17.77859180755638,280.79072104511266,7.691456254774436,484.2919941657892,112.17974067781955,77.23959104992483,71.40055530150374,327.64532909736823,77.07810064285715,14.845596494360903,7.974683606390976,24.55717415526316,49.945334030075195,58.78416341278196,45.556506875939846,20.250661145206763,2.4781372593984963,1.331498454511278,69.3797441710526,98.23544589022552,84.48049690601495,33.41598028733083,1.0738389498473286,0.37201340472265626,0.1041919663846154,1.1388496682441867,2.0575722513740455,5.620295259694656,0.4801907919064747,2.2732804335185186,2.5053956915467626,2.383055203085937,3.155686516046512,8.0,1996679.0,987118.0,49.44,1009561.0,50.56,27341.0,1.37,2.71,19252.0,0.96,1.91,962968.0,48.23,95.38,27.0
2,2.3483007034351147,7.676732173282447,0.01579695809017323,6.634722378204724,10.00619862677165,20.679533638582686,92.44112895648543,25.03533073188286,5.323232569874478,10.311112848995815,5.508560795313806,11.459623394142262,35.36788206485356,22.067096677405864,25.088195067364026,22.153577793305445,4.9298057066945615,7.537656081171547,1.2009364221757324,102.56248622008371,4.699865522594142,43.32502242259412,111.74935044225944,25.986301595397507,1.6950239633054391,13.72684041020921,14.359562596987447,352.90037275439335,7.893479603347281,328.24566787573235,114.85118215062762,82.24808424154813,75.42117679355648,410.4050439330544,90.01756745606694,15.151150623430965,5.93597811046025,16.741008361924685,50.34017783807533,60.77054711129705,60.078479870292895,20.491089152133902,2.409759058577406,3.1072923012552303,63.10004026025106,82.27870607531376,84.87394290376564,22.826795987029293,1.1153808331496062,0.3225948506239317,0.12854882031746032,1.3626735879872343,2.3843790551968507,6.023128930708662,0.42059823198473273,2.3389011265846156,2.5464011237384616,2.441488020893617,3.2175299903149623,5.0,2421863.0,1172622.0,48.42,1249241.0,51.58,27848.0,1.15,2.23,19117.0,0.79,1.53,1202276.0,49.64,96.24,53.0
3,2.5679459304404766,8.201294140214284,0.019832301511554223,8.329566670807226,10.174019086296294,22.15957940012345,93.38935472905402,22.921670092567567,5.146736512837839,7.909055240270271,5.957642829527026,14.521235602702706,40.01271178513514,26.409699758108104,28.366608833783797,26.260882622297302,1.3376641405405405,4.74207876418919,1.0183397432432433,110.53981932770273,6.169884139662163,33.296924991216244,114.43452952027029,30.870534883783783,2.3313304905405405,9.261929384729733,13.393954068844593,334.21148028378377,9.000208973648649,425.48150883310814,96.29764868918919,76.87437668648651,40.53694195405405,306.480720331081,81.42677441216215,13.123648545945949,6.416023092567568,25.80114930540541,50.59404034256758,60.956028145945965,50.21400617837837,18.48318180155406,1.6181828716216216,1.7089769054054054,62.1794161804054,83.02470033040541,78.42798861486489,29.942381642567568,0.7158838532098761,0.3439185841310345,0.07450446049382717,1.188558498924138,2.244630194074074,5.978349051975308,0.5330356519166666,2.6883078371428573,2.7195578430952376,2.6803146670344837,3.151856643703703,3.0,1817345.0,917028.0,50.46,900317.0,49.54,23946.0,1.32,2.66,16414.0,0.9,1.82,859957.0,47.32,95.52,24.0
4,2.3084047579487184,8.099838260615385,0.017041842129635422,7.157573697171876,10.081044203124998,20.952090612500005,72.16336852957745,22.05914832825352,7.729966243943662,6.333841299774652,6.855058583490141,13.064297415211271,34.22913936873238,24.071146018591563,25.263019705633816,18.19409123878874,1.8351884362535211,5.710785924225354,1.7609657980281692,104.09116625295776,2.935714263380282,39.37658972507043,103.50397103154931,18.49151593690141,2.3849641752112674,13.798784034845063,15.435062357228178,439.1427187566197,8.734241994929574,355.3989954450706,137.2763880535211,78.98187956,97.70331010704227,375.82057729183094,66.35717178225352,12.83808066760564,2.25112775915493,17.51705527070423,49.9086283892958,62.454812198873256,66.92273024112676,28.83565279839436,2.1918110056338027,2.709362826760564,69.72053846535212,89.05601563388736,62.48974885718308,24.356600380507047,1.1996687255208318,0.2948427178920454,0.16442890994791665,1.2750644477386366,2.360575301614584,6.342250816145834,0.6186519687743591,2.2307875568717943,2.327747262307692,2.5598901795454547,3.2782386354687514,7.0,3885530.0,2023930.0,52.09,1861600.0,47.91,46404.0,1.19,2.49,37553.0,0.97,2.02,1777643.0,45.75,95.49,44.0
5,2.399808829923077,7.587407743217647,0.014762495506969705,6.200248064545452,10.638000764242426,21.056139789696974,72.54991908002908,21.34183466366279,5.359530920930232,7.650438774415698,6.475572084156974,10.829163131104652,35.40452249098839,21.762657659593035,23.250035793401164,16.803119734302324,1.5134074401162791,5.867033949418604,1.281146159883721,80.47874332180236,4.590531508720931,57.7863120877907,82.16903541918609,18.692602203488374,1.8983688013081392,17.23783564754359,13.117421084040696,508.2920262238371,7.723331900581397,202.68687878023255,154.32686737238367,88.16807836906978,62.002180060465136,265.0083256770349,72.08345060203489,14.617180758720933,3.9954525418604647,24.35285207703489,48.08595589273256,68.47644310436044,62.27018246976743,25.359070079113366,2.0978231831395346,1.523878706976744,63.028127666860506,108.3115410656977,75.69815279098837,19.24243622904071,0.9613262064848485,0.3596522598698224,0.1457288995151515,1.2860598761563424,2.258222332787879,6.9350236074545455,0.6738739412941177,2.4728915618674696,2.6722316143786986,2.679348894041299,3.6218795173939413,6.0,4237839.0,1914998.0,45.19,2322841.0,54.81,51483.0,1.21,2.22,34576.0,0.82,1.49,2236782.0,52.78,96.3,32.0
6,1.8804730938991925,6.778776316305222,0.011593211100125003,4.8691486396125,10.31007870958333,19.905033374583333,78.76731583659007,16.049056993333338,4.589439695977013,6.053674847777779,6.271717914482755,12.45589392528736,38.96566863084293,24.85562919636015,18.080549379118786,24.67133706676244,1.9890408254789276,4.811501031226053,1.1009201492337166,114.81155873601524,5.5560709341762475,36.33156857624522,129.18831123678163,25.161007943448265,2.2046805065517243,11.10315669171457,11.932823183086207,339.3257210498085,11.021065161877397,411.1187646534485,103.25419353716471,94.76618703735622,55.53162840574714,308.5140513536398,58.46193160574714,16.674581100957855,7.539411732375481,22.523728164942536,51.790498760536444,78.5102565547893,53.07599114118778,23.096913911685846,6.4352119846743285,1.5433862250957853,66.03950194233722,102.56467289166669,88.40631783850576,22.939132892816104,0.8141024184166661,0.3506643310683595,0.1680874940585774,1.4133056717480472,3.009684347405859,7.389733104166662,0.7216002493172692,2.752602657408905,2.828629028266128,2.1803609255097642,2.9522835811715478,1.0,7087189.0,3834489.0,54.1,3252700.0,45.9,68533.0,0.97,2.11,30874.0,0.44,0.95,3153293.0,44.49,96.94,11.0
7,2.3688388863087235,8.492284644630871,0.01895052191567567,7.959219245675675,10.504681042176877,22.436862848299302,86.30031714640445,27.96273696816479,6.922276550187267,10.788093622509367,5.592159663707864,10.385849713857676,44.21871998202247,26.129536704868922,32.58298416329589,20.447184643071175,2.9636719561797746,5.348648234456928,1.7014446490636703,98.00656172322101,6.344938411610488,47.76108006104873,101.41194423558052,20.320471498127347,2.151383164794007,13.292942501760297,13.043574283895135,407.26792654681645,6.53166125131086,357.4851199962546,124.76958356184646,78.34089513033705,68.481936364794,346.90553667191017,89.84124849101123,14.295648206741571,8.710453605992507,15.25904008988764,39.23375956928838,59.99798438951313,58.97974023670411,19.063544233745322,3.7375804119850184,1.0482432546816478,70.4595899891386,95.65829332546814,95.92674517715348,29.375252923970034,0.9391250731972798,0.3473841871136364,0.13742594246575343,1.3728197045946973,2.4696244947945196,6.46977093129252,0.6273234042617449,2.39681465822973,2.613087244630872,2.813675942641509,3.475496157959184,2.0,2390813.0,1196540.0,50.05,1194273.0,49.95,31604.0,1.32,2.65,18258.0,0.76,1.53,1144411.0,47.87,95.82,28.0
8,2.540766511322631,8.692047030683767,0.017758488100097326,7.458564983179572,10.061400194086021,21.011823789247316,98.66201152901239,21.675740714814822,6.129963742901236,6.651366512561728,6.335778127592594,14.717526275000004,42.38242278950617,27.013821649691362,23.417190691450635,18.36119748333333,2.6576455700617276,4.795772325308642,2.2028218055555557,126.82927945956787,6.650407905864199,31.956677197530883,121.05894807592604,20.816618566666673,2.8355401547222217,9.412140848549381,13.261311657601853,315.8797540688272,7.224702314197531,536.6432995154322,74.46504926234569,78.49296893883641,89.19756513518519,348.8065828453703,96.24053277160498,11.997388232098762,8.82721611388889,16.604791475308648,44.493220196296306,58.01070391635806,55.48465996419753,19.435233523024667,4.519700688271604,1.2049713302469136,65.97309316604941,83.69362064629628,82.36753177469127,28.229020534166686,0.6597577971505383,0.3414862291097179,0.14935131537634408,1.2879606398647798,2.3508498667567563,6.180001240913979,0.641393232460733,2.258219959931217,2.4674436170894736,2.5444932967680263,3.1575936015591406,12.0,4268933.0,2093075.0,49.03,2175858.0,50.97,57889.0,1.36,2.66,49208.0,1.15,2.26,2068761.0,48.46,95.08,75.0
9,2.8522856970357156,9.723741142755108,0.022558065468047617,9.474387446132276,10.60274630825397,23.577284052380968,92.09173707455932,19.344465213738598,5.74154670395137,7.069215077963529,7.542005379677809,13.533996880395138,45.00411047203649,26.882773687538005,24.530676395136794,20.77183736382979,2.435570186626139,3.9976532884498477,2.3540815264437684,141.8621271729483,7.481817201215806,33.98975187993923,130.19017684589673,25.411809693009133,3.0434154587537994,10.064980496686928,15.331204256200609,226.80702095531916,6.974016966869301,604.3510738996957,63.89033492826749,68.08708397781156,89.6035535604863,361.48650945006096,90.11110553516717,13.039929665045593,8.656699207598782,21.095129688449852,45.25752610851065,64.15950011489362,51.13418117781155,20.929091571033428,5.231065779635259,2.4852973568389065,55.869813392401205,83.30228363039517,78.93411541215806,25.47129737082069,0.8664939850264554,0.3400032940406249,0.15894684234042553,1.2595553277445486,2.4050769086170214,6.349488247301592,0.5022207124183672,2.7128162330208325,2.764970400207253,2.376653759811913,3.0934437319786103,11.0,4121833.0,1967178.0,47.73,2154655.0,52.27,59828.0,1.45,2.78,41251.0,1.0,1.91,2053576.0,49.82,95.31,76.0
10,1.9776016070322573,6.753774895806454,0.016255783271538458,6.827428954285714,9.63278028791209,20.14555246373626,88.41542854328357,27.267802400000004,7.489050282587066,10.514356131840799,5.3984599361691545,12.811922368656715,36.89188892089553,21.25514539154229,26.316004414925374,19.463417030845765,1.8422791179104476,4.31967395323383,1.7643923810945277,111.54108070049752,9.677327293532338,39.714765644776136,99.01565057562192,28.18080374129353,1.7235252940298509,10.63453546358209,15.203903838985072,215.11779228358208,9.79095582636816,492.5186447462688,82.70121228706465,87.21835773233829,70.110135320398,360.5851593432835,63.183750094527376,14.262259797512437,7.337329603980099,17.13764339751243,45.103772130845776,51.16147208059699,53.01722179253734,15.72030168348259,4.875682587064676,1.3187633368159204,65.35864803084579,75.86253471641793,85.58072037313433,21.316586889054722,0.7076442605494502,0.29785955222222227,0.03412699911111111,1.371366432626263,2.40745363511111,5.866247487912088,0.7881314795053767,2.341187883369565,2.612327188924731,2.360319783369697,3.176751140333335,4.0,2664791.0,1333255.0,50.03,1331536.0,49.97,39647.0,1.49,2.98,22947.0,0.86,1.72,1268942.0,47.62,95.3,52.0
11,2.352886519142857,8.673799801500001,0.013810151782627745,5.800263733065695,9.450457144671537,19.488024607299263,82.55336450253063,17.610107017551012,6.764658392244899,6.479889001551018,8.12063160608163,13.321957975918364,37.6952562767347,20.90089815183673,17.981125167755106,23.834424137959196,4.1484787468979585,6.127126145306121,2.248104990612245,126.09455470448982,3.296975226938776,30.333141096326525,127.35531930081628,26.085907738775518,3.324839641591837,11.656175980122448,13.026670979824493,245.07410023918365,7.078365303061226,493.06634167346954,86.28203249387757,72.70700545669386,70.43768350693875,349.2210752612246,71.44098076612244,13.096452851836736,8.220845402448978,19.243696750612248,37.56743026938777,57.68557203183675,50.56699685387756,21.496446166857144,9.549653746938775,2.1420553465306122,51.736332434285735,81.10982339183668,81.07703485714288,25.835100172653075,0.7904567948905118,0.3047171077782426,0.11662263607407408,1.2662270306541668,2.307003269338235,6.024841633576643,0.4443950940357143,1.8340816308571428,2.0089795915714284,2.5869683522314055,3.2458196635766408,10.0,3525279.0,1694287.0,48.06,1830992.0,51.94,36108.0,1.02,1.97,20034.0,0.57,1.09,1774850.0,50.35,96.93,93.0
